"ward_clusters"	"complete_clusters"
"OTU1110"	NA	NA
"OTU1111"	NA	NA
"OTU1116"	92	117
"OTU1117"	NA	NA
"OTU1118"	131	NA
"OTU1121"	NA	NA
"OTU1123"	NA	186
"OTU1127"	101	124
"OTU1128"	NA	179
"OTU1129"	37	45
"OTU1130"	150	NA
"OTU1131"	NA	NA
"OTU1135"	NA	NA
"OTU1137"	NA	NA
"OTU1138"	23	28
"OTU1140"	80	105
"OTU1141"	NA	NA
"OTU1145"	146	62
"OTU1148"	115	136
"OTU1150"	140	163
"OTU1152"	54	84
"OTU1153"	NA	NA
"OTU1155"	NA	NA
"OTU1158"	NA	NA
"OTU1159"	NA	NA
"OTU1161"	NA	NA
"OTU1163"	NA	NA
"OTU1164"	31	40
"OTU1165"	NA	159
"OTU1166"	NA	181
"OTU1170"	169	172
"OTU1171"	NA	NA
"OTU1172"	17	21
"OTU1173"	79	104
"OTU1174"	157	NA
"OTU1175"	NA	NA
"OTU1176"	NA	NA
"OTU1177"	NA	NA
"OTU1178"	NA	NA
"OTU1179"	NA	NA
"OTU1182"	NA	NA
"OTU1185"	NA	NA
"OTU1186"	NA	NA
"OTU1188"	NA	NA
"OTU1189"	NA	NA
"OTU1190"	NA	NA
"OTU1193"	NA	NA
"OTU1196"	126	147
"OTU1200"	81	107
"OTU1203"	NA	NA
"OTU1204"	189	95
"OTU1205"	NA	NA
"OTU1208"	NA	192
"OTU1211"	NA	188
"OTU1212"	21	194
"OTU1214"	NA	NA
"OTU1215"	138	157
"OTU1216"	115	136
"OTU1217"	NA	NA
"OTU1218"	NA	NA
"OTU1219"	179	NA
"OTU1224"	NA	143
"OTU1234"	NA	171
"OTU1237"	18	22
"OTU1238"	NA	190
"OTU1240"	177	NA
"OTU1241"	NA	NA
"OTU1244"	NA	NA
"OTU1245"	35	113
"OTU1247"	93	80
"OTU1249"	NA	NA
"OTU1250"	171	NA
"OTU1251"	162	180
"OTU1252"	NA	NA
"OTU1254"	NA	NA
"OTU1256"	NA	181
"OTU1257"	187	48
"OTU1259"	121	NA
"OTU1262"	NA	NA
"OTU1263"	NA	NA
"OTU1264"	NA	NA
"OTU1266"	122	NA
"OTU1268"	NA	NA
"OTU1270"	NA	NA
"OTU1271"	NA	NA
"OTU1278"	NA	NA
"OTU1284"	NA	NA
"OTU1285"	189	101
"OTU1286"	120	138
"OTU1288"	111	142
"OTU1289"	NA	NA
"OTU1290"	NA	NA
"OTU1291"	81	107
"OTU1294"	NA	174
"OTU1296"	143	190
"OTU1298"	NA	166
"OTU1300"	NA	NA
"OTU1301"	175	68
"OTU1302"	NA	NA
"OTU1306"	NA	190
"OTU1307"	NA	NA
"OTU1308"	190	99
"OTU1309"	34	69
"OTU1310"	NA	191
"OTU1311"	177	151
"OTU1312"	NA	188
"OTU1314"	NA	NA
"OTU1315"	50	61
"OTU1316"	89	114
