#                                                                           running time (s)                 
#                                                                    -------------------------------          
#  idx  seq name  length  cm from    cm to  trunc    bit sc  avg pp  band calc  alignment      total  mem (Mb)
# ----  --------  ------  -------  -------  -----  --------  ------  ---------  ---------  ---------  --------
   207  OTU1249      250      524      773  5'&3'    232.92   1.000       0.05       0.02       0.08      5.65
   208  OTU125       250      524      773  5'&3'    221.61   1.000       0.05       0.02       0.08      5.69
   209  OTU1250      250      524      773  5'&3'    212.99   1.000       0.05       0.03       0.08      5.82
   210  OTU1251      250      524      773  5'&3'    222.29   1.000       0.05       0.03       0.08      5.69
   211  OTU1252      250      524      773  5'&3'    238.00   1.000       0.05       0.02       0.08      5.65
   212  OTU1254      250      524      773  5'&3'    216.13   0.999       0.05       0.03       0.08      5.79
   213  OTU1256      250      524      773  5'&3'    231.72   1.000       0.05       0.02       0.08      5.79
   214  OTU1257      250      524      773  5'&3'    240.07   1.000       0.05       0.02       0.07      5.64
   215  OTU1259      250      524      773  5'&3'    230.36   1.000       0.05       0.02       0.07      5.67
   216  OTU126       250      524      773  5'&3'    238.29   1.000       0.05       0.03       0.08      5.66
   217  OTU1262      250      524      773  5'&3'    218.40   1.000       0.05       0.03       0.08      5.81
   218  OTU1263      250      524      773  5'&3'    238.57   1.000       0.05       0.02       0.08      5.65
   219  OTU1264      255      524      773  5'&3'    166.75   0.948       0.06       0.05       0.11      6.74
   220  OTU1266      250      524      773  5'&3'    228.09   1.000       0.05       0.02       0.07      5.68
   221  OTU1268      250      524      773  5'&3'    229.86   0.999       0.05       0.02       0.08      5.73
   222  OTU127       250      524      773  5'&3'    225.57   1.000       0.05       0.02       0.07      5.66
   223  OTU1270      250      524      773  5'&3'    231.49   1.000       0.05       0.02       0.07      5.65
   224  OTU1271      250      524      773  5'&3'    232.79   1.000       0.05       0.02       0.07      5.65
   225  OTU12722     252      524      773  5'&3'    214.03   0.995       0.06       0.03       0.08      5.79
   226  OTU1276      250      524      773  5'&3'    229.51   1.000       0.05       0.02       0.08      5.71
   227  OTU1277      250      524      773  5'&3'    226.43   1.000       0.05       0.02       0.08      5.67
   228  OTU1278      250      524      773  5'&3'    226.65   1.000       0.05       0.02       0.08      5.68
   229  OTU1279      250      524      773  5'&3'    228.31   1.000       0.05       0.02       0.07      5.62
   230  OTU128       250      524      773  5'&3'    233.39   1.000       0.05       0.02       0.08      5.72
   231  OTU1280      250      524      773  5'&3'    215.72   1.000       0.05       0.03       0.08      5.78
   232  OTU1284      249      524      773  5'&3'    224.38   0.997       0.05       0.02       0.08      5.70
   233  OTU1285      250      524      773  5'&3'    232.05   1.000       0.05       0.02       0.07      5.65
